Weightage,Web Developer,H1 (April'25-Sept'25) Score,Weighted Score,Comments
100%,Work KPIs,,,
,,,,
20%,"Developing website architecture and web apps (Front-end - Managing website using React, HTML, CSS; etc + backend using PHP/MYSQL, or any framework like wordpress, CI etc )/Python/flask etc",3.5,0.7,Happiness bot; lilavati; godrej
15%,"Understanding the brief, client's expectations",3,0.45,
0%,Understand servers + create servers(installation) + managing websites with 0 downtime,0,0,
2%,Security check: Free online tools for malware detections etc for all brands - working/non-working website brands,2.5,0.05,"Once Lilavati is completed, let's review the pointers, including a security check using a free tool."
28%,"Effective execution (testing after completion of task, Maintaining quality & timelines, ensuring for website & mobile responsiveness): (Mailers/bot etctesting..)",3.1,0.868,
15%,"Incharge of AMCs/Mailers(Managing timelines,updates frequently and sometimes over weekends), content updating",3.5,0.525,
0%,Grooming & Managing your team,0,0,
,Competencies,,,
5%,Displaying hunger and dependability,3.5,0.175,
5%,Effective Learner and self driven (Staying abreast of developments on web applications and programming languages),3.6,0.18,
5%,Operational efficiency and consistency,3.2,0.16,
5%,Leading Internal Communication & Co-ordination,3.2,0.16,
,Total,,3.268,
